ts,temp,fire_alarm
2025-09-15T18:57:13.016842+09:00,27.7,0
2025-09-15T18:57:14.012773+09:00,27.5,0
2025-09-15T18:57:15.016822+09:00,27.3,0
2025-09-15T18:57:17.016454+09:00,27.1,0
2025-09-15T18:57:18.016980+09:00,27.0,0
2025-09-15T18:57:19.017637+09:00,26.9,0
2025-09-15T18:57:20.017528+09:00,26.9,0
2025-09-15T18:57:21.012463+09:00,26.8,0
2025-09-15T18:57:22.013968+09:00,28.7,0
2025-09-15T18:57:23.013918+09:00,29.2,0
2025-09-15T18:57:24.012914+09:00,29.4,0
2025-09-15T18:57:26.019230+09:00,29.6,0
2025-09-15T18:57:27.015419+09:00,29.7,0
2025-09-15T18:57:28.017021+09:00,29.8,0
2025-09-15T18:57:29.017514+09:00,29.9,0
2025-09-15T18:57:30.015069+09:00,29.9,0
2025-09-15T18:57:31.015587+09:00,30.0,0
2025-09-15T18:57:32.016122+09:00,28.2,0
2025-09-15T18:57:33.016523+09:00,27.7,0
2025-09-15T18:57:34.019647+09:00,27.4,0
2025-09-15T18:57:35.018132+09:00,27.3,0
2025-09-15T18:57:36.017004+09:00,27.2,0
2025-09-15T18:57:37.012608+09:00,27.0,0
2025-09-15T18:57:38.018090+09:00,27.0,0
2025-09-15T18:57:39.018291+09:00,26.9,0
2025-09-15T18:57:40.013216+09:00,26.8,0
2025-09-15T18:57:41.014730+09:00,26.8,0
2025-09-15T18:57:42.016625+09:00,28.6,0
2025-09-15T18:57:43.016314+09:00,29.1,0
2025-09-16T14:51:30.217876+09:00,30.0,0
2025-09-16T14:51:31.214880+09:00,28.2,0
2025-09-16T14:51:32.214572+09:00,27.7,0
2025-09-16T14:51:33.218360+09:00,27.4,0
2025-09-16T14:51:33.218360+09:00,27.4,0
2025-09-16T14:51:34.214792+09:00,27.3,0
2025-09-16T14:51:36.216665+09:00,27.0,0
2025-09-16T14:51:37.218220+09:00,27.0,0
2025-09-16T14:51:38.216287+09:00,26.9,0
2025-09-16T14:51:39.218046+09:00,26.8,0
2025-09-16T14:51:40.216539+09:00,26.8,0
2025-09-16T14:51:41.220979+09:00,28.6,0
2025-09-16T14:51:42.217627+09:00,29.1,0
2025-09-16T14:51:43.216800+09:00,29.4,0
2025-09-16T14:51:44.219794+09:00,29.5,0
2025-09-16T14:51:45.218170+09:00,29.6,0
2025-09-16T14:51:46.214332+09:00,29.7,0
2025-09-16T14:51:47.215090+09:00,29.8,0
2025-09-16T14:51:48.217766+09:00,29.8,0
2025-09-16T14:51:49.218229+09:00,29.9,0
2025-09-16T14:51:50.221055+09:00,29.9,0
2025-09-16T14:51:51.214578+09:00,28.1,0
2025-09-16T14:51:52.217350+09:00,27.6,0
2025-09-16T14:51:53.215015+09:00,27.4,0
2025-09-16T14:51:54.221087+09:00,27.5,0
2025-09-16T14:51:55.212507+09:00,27.2,0
2025-09-16T14:51:56.212948+09:00,27.2,0
2025-09-16T14:51:57.213489+09:00,27.1,0
2025-09-16T14:51:58.214695+09:00,27.0,0
2025-09-16T14:51:59.217579+09:00,27.0,0
2025-09-16T14:52:00.220589+09:00,26.9,0
2025-09-16T14:52:01.214386+09:00,28.8,0
2025-09-16T14:52:02.214368+09:00,29.2,0
2025-09-16T14:52:04.214825+09:00,29.6,0
2025-09-16T14:52:05.217950+09:00,29.7,0
2025-09-16T14:52:06.216862+09:00,29.9,0
2025-09-16T14:52:09.223624+09:00,30.0,0
2025-09-16T14:52:10.214634+09:00,30.1,0
2025-09-16T14:52:11.215435+09:00,28.2,0
2025-09-16T14:52:12.221190+09:00,27.7,0
2025-09-16T14:52:13.219609+09:00,27.5,0
2025-09-16T14:52:15.217680+09:00,27.2,0
2025-09-16T14:52:16.212791+09:00,27.1,0
2025-09-16T14:52:17.214193+09:00,27.0,0
2025-09-16T14:52:18.217120+09:00,26.9,0
