ts,temp,fire_alarm
2025-09-15T18:57:13.028734+09:00,27.6,0
2025-09-15T18:57:14.037878+09:00,27.4,0
2025-09-15T18:57:15.024080+09:00,27.3,0
2025-09-15T18:57:16.034169+09:00,27.1,0
2025-09-15T18:57:17.027270+09:00,27.1,0
2025-09-15T18:57:18.027840+09:00,27.0,0
2025-09-15T18:57:19.032946+09:00,26.9,0
2025-09-15T18:57:20.031827+09:00,26.9,0
2025-09-15T18:57:21.017911+09:00,26.8,0
2025-09-15T18:57:22.022668+09:00,28.9,0
2025-09-15T18:57:23.026142+09:00,29.2,0
2025-09-15T18:57:24.019527+09:00,29.4,0
2025-09-15T18:57:25.025212+09:00,29.6,0
2025-09-15T18:57:27.021847+09:00,29.8,0
2025-09-15T18:57:28.043049+09:00,29.9,0
2025-09-15T18:57:29.032146+09:00,29.9,0
2025-09-15T18:57:30.031129+09:00,29.9,0
2025-09-15T18:57:31.034178+09:00,30.0,0
2025-09-15T18:57:32.034098+09:00,27.9,0
2025-09-15T18:57:33.032048+09:00,27.6,0
2025-09-15T18:57:34.030819+09:00,27.3,0
2025-09-15T18:57:36.027425+09:00,27.1,0
2025-09-15T18:57:37.023868+09:00,27.0,0
2025-09-15T18:57:38.025300+09:00,26.9,0
2025-09-15T18:57:39.033008+09:00,26.9,0
2025-09-15T18:57:40.019460+09:00,26.8,0
2025-09-15T18:57:41.025184+09:00,26.8,0
2025-09-15T18:57:42.024659+09:00,28.8,0
2025-09-16T14:51:30.226748+09:00,30.0,0
2025-09-16T14:51:31.222497+09:00,27.9,0
2025-09-16T14:51:31.222497+09:00,27.9,0
2025-09-16T14:51:32.232599+09:00,27.6,0
2025-09-16T14:51:33.225111+09:00,27.3,0
2025-09-16T14:51:34.222513+09:00,27.2,0
2025-09-16T14:51:35.225039+09:00,27.1,0
2025-09-16T14:51:37.224874+09:00,26.9,0
2025-09-16T14:51:38.224474+09:00,26.9,0
2025-09-16T14:51:39.230393+09:00,26.8,0
2025-09-16T14:51:40.230365+09:00,26.8,0
2025-09-16T14:51:42.226212+09:00,29.2,0
2025-09-16T14:51:43.221598+09:00,29.4,0
2025-09-16T14:51:44.231921+09:00,29.5,0
2025-09-16T14:51:45.254298+09:00,29.6,0
2025-09-16T14:51:46.218948+09:00,29.7,0
2025-09-16T14:51:47.235308+09:00,29.8,0
2025-09-16T14:51:48.223282+09:00,29.9,0
2025-09-16T14:51:49.236457+09:00,29.9,0
2025-09-16T14:51:50.229453+09:00,29.9,0
2025-09-16T14:51:51.221066+09:00,27.8,0
2025-09-16T14:51:53.225437+09:00,27.3,0
2025-09-16T14:51:54.226730+09:00,27.4,0
2025-09-16T14:51:55.218699+09:00,27.2,0
2025-09-16T14:51:56.217661+09:00,27.1,0
2025-09-16T14:51:57.221134+09:00,27.1,0
2025-09-16T14:51:58.222434+09:00,27.0,0
2025-09-16T14:51:59.223176+09:00,27.0,0
2025-09-16T14:52:00.230102+09:00,26.9,0
2025-09-16T14:52:00.230102+09:00,26.9,0
2025-09-16T14:52:02.225499+09:00,29.3,0
2025-09-16T14:52:04.222901+09:00,29.7,0
2025-09-16T14:52:05.225862+09:00,29.8,0
2025-09-16T14:52:06.251805+09:00,29.9,0
2025-09-16T14:52:07.223628+09:00,29.9,0
2025-09-16T14:52:08.228181+09:00,30.0,0
2025-09-16T14:52:09.230458+09:00,30.0,0
2025-09-16T14:52:10.226633+09:00,30.1,0
2025-09-16T14:52:11.224123+09:00,28.0,0
2025-09-16T14:52:12.227092+09:00,27.6,0
2025-09-16T14:52:13.228303+09:00,27.4,0
2025-09-16T14:52:14.229584+09:00,27.3,0
2025-09-16T14:52:15.223370+09:00,27.1,0
2025-09-16T14:52:16.219639+09:00,27.1,0
2025-09-16T14:52:17.221483+09:00,27.0,0
